server,payload_size,avg_rtt,max_rtt,min_rtt,std_rtt
1.1.1.1,10,31.0,33.0,30.0,1.224744871391589
1.1.1.1,20,36.0,52.0,25.0,9.705024471890836
1.1.1.1,30,30.0,35.0,25.0,3.6996621467371855
1.1.1.1,40,25.0,28.0,20.0,3.2015621187164243
1.1.1.1,50,24.0,27.0,22.0,1.7853571071357126
1.1.1.1,60,25.0,28.0,22.0,3.0
1.1.1.1,70,27.0,36.0,22.0,5.356071321407137
1.1.1.1,80,27.0,34.0,23.0,4.205650960315181
1.1.1.1,90,29.0,39.0,23.0,6.224949798994366
1.1.1.1,100,25.0,27.0,24.0,1.224744871391589
1.1.1.1,110,27.0,33.0,24.0,3.5
1.1.1.1,120,30.0,40.0,24.0,6.363961030678928
1.1.1.1,130,32.0,35.0,29.0,2.277608394786075
1.1.1.1,140,32.0,38.0,24.0,5.477225575051661
1.1.1.1,150,26.0,33.0,24.0,3.6314597615834874
1.1.1.1,160,24.0,26.0,22.0,1.5811388300841898
1.1.1.1,170,28.0,38.0,22.0,6.179603547154137
1.1.1.1,180,24.0,25.0,23.0,0.82915619758885
1.1.1.1,190,23.0,26.0,22.0,1.7320508075688772
1.1.1.1,200,25.0,27.0,23.0,1.4142135623730951
1.1.1.1,210,24.0,25.0,24.0,0.4330127018922193
1.1.1.1,220,23.0,24.0,23.0,0.4330127018922193
1.1.1.1,230,26.0,35.0,22.0,5.123475382979799
1.1.1.1,240,29.0,34.0,25.0,3.391164991562634
1.1.1.1,250,25.0,28.0,22.0,2.384848003542364
1.1.1.1,260,25.0,27.0,23.0,1.479019945774904
1.1.1.1,270,24.0,27.0,22.0,1.8027756377319946
1.1.1.1,280,31.0,35.0,26.0,3.344772040064913
1.1.1.1,290,26.0,35.0,22.0,5.11737237261468
1.1.1.1,300,25.0,27.0,24.0,1.0897247358851685
1.1.1.1,310,24.0,28.0,23.0,1.920286436967152
1.1.1.1,320,26.0,30.0,23.0,2.48746859276655
1.1.1.1,330,25.0,27.0,24.0,1.299038105676658
1.1.1.1,340,25.0,27.0,23.0,1.5811388300841898
1.1.1.1,350,24.0,29.0,23.0,2.48746859276655
1.1.1.1,360,25.0,27.0,24.0,1.224744871391589
1.1.1.1,370,25.0,28.0,23.0,1.8708286933869707
1.1.1.1,380,27.0,30.0,24.0,2.23606797749979
1.1.1.1,390,26.0,29.0,24.0,2.277608394786075
1.1.1.1,400,25.0,28.0,24.0,1.5
1.1.1.1,410,24.0,27.0,23.0,1.6393596310755
1.1.1.1,420,24.0,26.0,23.0,1.0897247358851685
1.1.1.1,430,23.0,25.0,21.0,1.479019945774904
1.1.1.1,440,23.0,24.0,22.0,0.8660254037844386
1.1.1.1,450,28.0,33.0,24.0,4.5
1.1.1.1,460,24.0,25.0,23.0,0.82915619758885
1.1.1.1,470,24.0,27.0,21.0,2.48746859276655
1.1.1.1,480,24.0,25.0,24.0,0.4330127018922193
